Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4240,Lakes & Tanks ,"Muthangi Tank,",Dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",5.5,7.23,1345,28,3,12,0.31,Less than 2,38,,,,19,24,230,188,28,5.3,,Less than 0.01,350.99,68,44,27,57,756,559,13,Not Analysed,0.27,0.03,14,0.17,25.02,1.32
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.3,7.05,1190,36,4,9,0.37,Less than 2,41,,,,16,16,202,142,36,6.8,,Less than 0.01,253.38,52,30,25,63,678,493,17,Not Analysed,0.21,0.04,9,0.21,33.94,1.72
4243,Lakes & Tanks ,"Isnapur Tank,",5.1,7.28,4920,52,6.5,25,0.26,Less than 2,84,,,,21,40,376,298,52,9.8,,Less than 0.01,544.97,116,62,51,104,2846,2021,41,Not Analysed,0.29,0.08,28,0.25,27.9,1.93
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,5.8,8.18,411,30,3,4,Less than 0.01,33,440,,,,8,Less than 1,138,42,30,Less than 1,Less than 1,Less than 0.01,212,26,36,14,28,292,198,18,Less than 0.01,,Less than 0.01,8,0.13,21.27,0.83
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",4.2,7.56,610,24,4,0.48,Not Analysed,Less than 2,68,,,,12,Less than 1,175,78,24,Less than 1,Not Analysed,,180,46,15.79,32,64,390,Not Analysed,10,Less than 0.01,Not Analysed,Less than 0.01,2,0.69,43.14,2.07
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Less than 0.1,7.3,1472,143,28,11.48,Not Analysed,24,350,,,,20,Less than 1,288,274,143,3.5,Not Analysed,,340,80,34.02,85,193,920,Not Analysed,17,0.93,Not Analysed,0.22,6,0.83,54.56,4.54
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Less than 0.1,7.76,1584,89,20,6.8,Not Analysed,20,280,,,,18,Less than 1,320,294,89,2.5,Not Analysed,,395,78,48.6,85,192,1078,Not Analysed,17,0.94,Not Analysed,0.38,8,0.74,50.58,4.19
1788,Lakes & Tanks ,Saroornagar Lake,Less than 0.1,7.28,1472,104,38,7.86,Not Analysed,26,350,,,,26,Less than 1,340,198,104,4.8,Not Analysed,,390,84,43.74,98,152,982,Not Analysed,22,1.67,Not Analysed,0.32,6,0.62,45.24,3.34
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",Less than 0.1,8.04,1314,126,26,12.86,Not Analysed,26,350,,,,22,Less than 1,308,180,126,4.2,Not Analysed,,395,76,49.81,82,114,820,Not Analysed,22,1.24,Not Analysed,0.32,6,0.82,37.95,2.49
1464,Lakes & Tanks ,Bibinagar Tank,7.2,6.82,443,29,3,6,0.31,4,47,,,,11,8,84,58,29,5.5,,Less than 0.01,125.82,24,16,14,18,252,184,18,Not Analysed,0.25,Less than 0.01,4,0.35,22.89,0.7
3068,Lakes & Tanks ,Ramappa lake,6.4,7.81,242,8,2.3,BDL,Not Analysed,Less than 2,17,,,,4,Less than 1,80,27,8,Less than 1,Not Analysed,,85,20,8.5,8,18,154,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,30.78,0.85
1447,Lakes & Tanks ,Dharmasagar tank,5.6,8.37,393,16,3,0.64,Not Analysed,Less than 2,20,,,,5,6,120,46,16,Less than 1,Not Analysed,,130,28.8,14.09,18,33,248,Not Analysed,6,Less than 0.01,Not Analysed,Less than 0.01,4,0.62,34.56,1.25
2346,Lakes & Tanks ,Bhadrakali tank,6,7.49,458,18,3,0.52,Not Analysed,Less than 2,11,,,,12,Less than 1,175,32,18,Less than 1,Not Analysed,,180,42,18.22,19,30,280,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,26.22,0.97
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",4.8,8.12,588,20,4,0.48,Not Analysed,Less than 2,22,,,,6,Less than 1,152,72,20,Less than 1,Not Analysed,,192,34.4,25.76,38,46,358,Not Analysed,6,0.12,Not Analysed,Less than 0.01,3,0.48,33.65,1.44
3085,Lakes & Tanks ,Chinnawaddepally tank,Less than 0.1,7.65,1380,144,20,4.68,Not Analysed,22,430,,,,22,Less than 1,280,192,144,4.6,Not Analysed,,240,48,29.16,52,122,650,Not Analysed,22,3.4,Not Analysed,0.28,8,0.88,51.3,3.41
2343,Lakes & Tanks ,Premajipet tank,Less than 0.1,7.94,3680,259,52,18.8,Not Analysed,32,520,,,,18,Less than 1,520,780,259,8.6,Not Analysed,,710,146,83.83,197,514,2426,Not Analysed,24,2.82,Not Analysed,0.41,6,0.64,60.75,8.36
2345,Lakes & Tanks ,Sai Cheruvu,Less than 0.1,7.81,6570,346,128,10.2,Not Analysed,32,520,,,,32,Less than 1,740,1372,346,8.2,Not Analysed,,965,184,122.72,650,1064,4210,Not Analysed,28,3.8,Not Analysed,0.32,69,0.82,68.58,14.84
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",2.2,7.22,1122,34,8,3.2,Not Analysed,11,288,,,,8,Less than 1,280,164,34,Less than 1,Not Analysed,,295,72,27.95,88,142,740,Not Analysed,18,2.92,Not Analysed,Less than 0.01,5,0.52,50.48,3.59
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",2.4,7.81,1041,53,6,4.2,Not Analysed,20,430,,,,14,Less than 1,275,148,53,Less than 1,Not Analysed,,305,74,29.16,76,118,628,Not Analysed,16,0.6,Not Analysed,Less than 0.01,4.2,0.86,45.13,2.93
4228,Lakes & Tanks ,"Ibrahim Cheruvu, Rajendra Nagar",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,6.5,6.78,1498,19,2.5,8,0.32,Less than 2,38,,,,14,16,170,119,19,3.6,,Less than 0.01,245.15,52,28,22,40,832,590,17,Not Analysed,0.39,0.04,5,0.26,25.57,1.11
4231,Lakes & Tanks ,"Rayam Cheruvu,",6.8,7.02,336,12,2.2,2,0.36,Less than 2,27,,,,17,4,58,35,12,2.3,,Less than 0.01,72.9,16,8,5,12,178.08,127,20,Not Analysed,0.18,0.02,4,0.2,24.95,0.61
4232,Lakes & Tanks ,"Komati Cheruvu,",6.7,7.15,752,16,2.2,7,0.32,Less than 2,20,,,,12,16,140,106,16,3,,Less than 0.01,193.85,42,22,11,38,391.04,293,13,Not Analysed,0.23,Less than 0.01,6,0.22,28.79,1.18
