Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
5033,Lakes & Tanks ,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,0.3,7.66,1326,20,2.2,,10,430,2,,,,22.4,5,275,159,242,5.6,1.12,0.03,345,188,75.2,157,38.15,102,,810,,32,2.24,,0.5,,1.06,,
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,4.6,7.73,1046,2.4,1.8,,21,430,6,,,,9.1,5,240,120,39,7,1.94,0.06,255,155,62,100,24.3,64,,648,,13,0.98,,0.5,,1.02,,
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,0.3,8.03,959,10,2.2,,8.1,430,2,,,,6.3,5,225,110,115,4.2,1.54,0.09,258,155,62,103,25.03,68,,594,,10,1.28,,0.61,,1.06,,
5036,Lakes & Tanks ,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.57,949,18,3.26,,11,350,1.8,,,,57.4,5,180,132,175,2.8,0.56,0.01,225,135,54,90,21.87,78,,588,,82,1.84,,0.5,,0.76,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.38,1357,12,3.87,,13,430,3.6,,,,51.8,5,280,159,119,5.6,1.68,0.02,340,205,82,135,32.8,106,#,842,,74,1.28,,0.5,#,0.74,,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,Sample was not submitted by RO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,0.3,7.75,1342,10,3.47,,14,430,2,,,,9.8,5,240,155,103,5.6,1.43,0.04,340,205,82,135,32.8,148.6,,806,,14,1.94,,0.5,,1.06,,
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.14,1269,10,3.16,,27,430,8.3,,,,32.2,5,255,140,119,5.6,2.32,0.02,320,190,76,130,31.59,122,,812,,46,2.11,,0.5,,0.96,,
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,2.8,7.65,1179,2.4,3.08,,24,430,2,,,,13.3,5,220,160,32,4.2,1.28,0.03,275,165,66,110,26.73,90,,742,,19,1.28,,0.5,,1.05,,
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.57,1368,14,3.6,,24,430,6,,,,30.8,5,265,172,187,5.2,1.32,0.03,330,200,80,130,31.59,104,,834,,44,2.46,,0.6,,1.02,,
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.32,1402,12,3.82,,17,430,4,,,,21.7,5,270,184,135,8.4,2.94,0.03,340,205,82,135,32.8,132,,856,,31,2.46,,0.5,,1.02,,
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,0.3,7.63,1873,14,4.8,,14,540,6.1,,,,18.2,5,366,235,167,7,2.16,0.05,435,265,106,170,41.31,134,,1142,,26,2.96,,0.5,,1.02,,
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.46,1429,12,3.96,,21,540,8.1,,,,37.8,5,280,182,123,5.6,0.98,0.02,332,195,78,137,33.29,98,,900,,54,2.8,,0.12,,1.1,,
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,4.2,7.87,558,1,3.6,,11,350,1.8,,,,9.8,5,156,56,16,2.8,0.54,0.03,125,75,30,50,12.15,34,,334,,14,0.62,,0.55,,1.08,,
